movieId,title,year,plot,director,cast,awards,runtime,ratings,metascore,imdbRating,imdbVotes,boxOffice,review_1,review_2,review_3,review_4,review_5,review_6,review_7,review_8,review_9,review_10
20,Money Train,1995,"A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him.",Joseph Ruben,"Wesley Snipes, Woody Harrelson, Jennifer Lopez",1 nomination,110 min,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}]",N/A,5.7,"43,656","$35,431,113",Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable
21,Get Shorty,1995,"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.",Barry Sonnenfeld,"Gene Hackman, Rene Russo, Danny DeVito",6 wins & 16 nominations,105 min,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,6.9,"90,548","$72,101,622",Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable
22,Copycat,1995,A criminal psychologist who turned agoraphobic after a murder attempt agrees to help two San Francisco detectives hunt for a copycat serial killer who intends on making her his next victim.,Jon Amiel,"Sigourney Weaver, Holly Hunter, Dermot Mulroney",2 wins & 1 nomination,123 min,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,6.6,"67,659","$32,051,917",Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable
23,Assassins,1995,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,Richard Donner,"Sylvester Stallone, Antonio Banderas, Julianne Moore",1 win & 1 nomination,133 min,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}]",N/A,6.3,"89,042","$30,303,072",Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable
24,Powder,1995,An off-the-charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.,Victor Salva,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen",1 win & 1 nomination,111 min,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",N/A,6.6,"33,071","$30,862,156",Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable
25,Leaving Las Vegas,1995,"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",Mike Figgis,"Nicolas Cage, Elisabeth Shue, Julian Sands",Won 1 Oscar. 32 wins & 30 nominations total,111 min,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,7.5,"137,340","$32,029,928",Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable
26,Othello,1995,"The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago.",Oliver Parker,"Laurence Fishburne, Kenneth Branagh, Irène Jacob",3 nominations,123 min,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}]",N/A,6.8,"10,272","$2,844,379",Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable
27,Now and Then,1995,Four childhood friends gather together to prepare for the birth of Chrissey's baby. They wonder how the girls they were at 12 years could possibly have become the women they are now.,Lesli Linka Glatter,"Christina Ricci, Demi Moore, Rosie O'Donnell",1 nomination,102 min,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,6.8,"33,081","$27,112,329",Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable
28,Persuasion,1995,Theatrical film of Persuasion with Ciaran Hinds &amp; Amanda Root. Directed by Roger Michell.,Roger Michell,"Amanda Root, Ciarán Hinds, Susan Fleetwood",Won 5 BAFTA 7 wins & 2 nominations total,103 min,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}]",N/A,7.7,"11,683","$5,269,757",Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable
31,Dangerous Minds,1995,"LouAnne, a retired US marine, becomes a teacher in a Californian high school. But her mostly Latino and black students from an impoverished and racially segregated locality do not easily embrace her.",John N. Smith,"Michelle Pfeiffer, George Dzundza, Courtney B. Vance",6 wins & 8 nominations,99 min,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,6.5,"57,941","$84,919,401",Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable
34,Babe,1995,"Gentle farmer Arthur Hoggett wins a piglet Babe at a county fair. Narrowly escaping his fate as Christmas dinner, Babe bonds with motherly border collie Fly and discovers that he too can herd sheep. But will the other animals acce...",Chris Noonan,"James Cromwell, Magda Szubanski, Christine Cavanaugh",Won 1 Oscar. 20 wins & 26 nominations total,91 min,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,6.9,"136,197","$63,658,910",Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable
36,Dead Man Walking,1995,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",Tim Robbins,"Susan Sarandon, Sean Penn, Robert Prosky",Won 1 Oscar. 23 wins & 25 nominations total,122 min,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",80,7.5,"102,947","$39,363,635",Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable
38,It Takes Two,1995,"Alyssa and Amanda are two little girls who are identical, but complete strangers, that accidentally meet one day.",Andy Tennant,"Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen",1 win & 3 nominations,101 min,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '8%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",45,5.9,"25,394","$19,474,589",Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable
39,Clueless,1995,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.",Amy Heckerling,"Alicia Silverstone, Stacey Dash, Brittany Murphy",6 wins & 12 nominations,97 min,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,6.9,"253,311","$56,631,572",Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable
40,"Cry, the Beloved Country",1995,"A South African preacher goes to search for his wayward son, who has committed a crime in the big city.",Darrell Roodt,"Richard Harris, James Earl Jones, Vusi Kunene",1 win & 4 nominations,106 min,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,6.8,"2,061","$670,727",Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable
41,Richard III,1995,The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.,Richard Loncraine,"Ian McKellen, Annette Bening, Christopher Bowen",Nominated for 2 Oscars. 7 wins & 12 nominations total,110 min,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",86,7.3,"15,761","$2,684,904",Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable
42,Dead Presidents,1995,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.","Albert Hughes, Allen Hughes","Larenz Tate, Keith David, Chris Tucker",2 nominations,119 min,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}]",N/A,6.9,"25,030","$24,147,179",Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable
43,Restoration,1995,"The exiled royal doctor to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.",Michael Hoffman,"Robert Downey Jr., Sam Neill, David Thewlis",Won 2 Oscars. 2 wins & 2 nominations total,117 min,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,6.6,"10,024","$4,005,941",Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable
44,Mortal Kombat,1995,Three martial artists are forced to battle demonic adversaries in another dimension with the fate of the world hanging in the balance.,Paul W.S. Anderson,"Christopher Lambert, Robin Shou, Linden Ashby",1 win & 3 nominations,101 min,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '47%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60,5.8,"126,147","$70,454,098",Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable
45,To Die For,1995,A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.,Gus Van Sant,"Nicole Kidman, Matt Dillon, Joaquin Phoenix",Nominated for 1 BAFTA Award7 wins & 17 nominations total,106 min,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",86,6.8,"54,687","$21,284,514",Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable
46,How to Make an American Quilt,1995,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,Jocelyn Moorhouse,"Winona Ryder, Ellen Burstyn, Anne Bancroft",4 nominations,117 min,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}]",N/A,6.3,"12,669","$23,600,020",Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable
48,Pocahontas,1995,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,"Mike Gabriel, Eric Goldberg","Mel Gibson, Linda Hunt, Christian Bale",Won 2 Oscars. 16 wins & 7 nominations total,81 min,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,6.7,"206,056","$141,579,773",Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable
49,When Night Is Falling,1995,"An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.",Patricia Rozema,"Pascale Bussières, Rachael Crawford, Henry Czerny",5 nominations,94 min,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}]",N/A,6.5,"7,529","$919,671",Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable
52,Mighty Aphrodite,1995,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.",Woody Allen,"Woody Allen, Mira Sorvino, Pamela Blair",Won 1 Oscar. 12 wins & 13 nominations total,95 min,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,7.0,"43,309","$6,468,498",Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable
53,Lamerica,1994,"Immediately after the fall of communism in Albania, two Italians go there to embezzle investment money by creating a fake company. As the chairman/fall guy, they pick a former political prisoner who turns out to be more than meets...",Gianni Amelio,"Enrico Lo Verso, Michele Placido, Piro Milkani",21 wins & 18 nominations,116 min,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",N/A,7.4,"2,391","$438,483",Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable
55,Georgia,1995,Sadie is desperately looking up to her older sister Georgia who is a famous C&amp;W artist. Her desperate need to be accepted by her sister is constantly complicated by her drug and alcohol problems.,Ulu Grosbard,"Jennifer Jason Leigh, Mare Winningham, Ted Levine",Nominated for 1 Oscar. 4 wins & 7 nominations total,115 min,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,6.5,"3,370","$1,110,104",Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable
57,Home for the Holidays,1995,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.",Jodie Foster,"Holly Hunter, Anne Bancroft, Robert Downey Jr.",2 nominations,103 min,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,6.6,"14,701","$17,519,169",Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable
61,Eye for an Eye,1996,"When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.",John Schlesinger,"Sally Field, Kiefer Sutherland, Ed Harris",N/A,101 min,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Metacritic', 'Value': '25/100'}]",25,6.2,"19,226","$26,877,589",Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable,Review data unavailable
